"","All.TMB","Coding.TMB","Expressed.NAg","CIN.Prop","HLA.LOH","HRD.LOH","HRD.TelomericAI","HRD.LST","HRD.sum","COL12A1","COL5A1","DNAH5","GATA3","HMCN1","MACF1","MAP3K1","MT-CO1","MT-CYB","MT-ND1","MT-ND4","MT-ND5","MUC16","MYO3A","NEB","PIK3CA","RYR1","RYR2","SPTA1","SYNE1","TP53","TTN"
"T153",61,32,29,0.282817429636326,0,5,14,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T154",86,41,51,0.464310232610556,0,6,19,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T155",52,29,6,0.30477584553265,0,12,11,2,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T156",61,25,7,0.200708946107982,0,4,9,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T159",23,12,4,0.143538519687661,0,4,5,1,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"T160",50,28,6,0.289136017186538,0,7,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T161",42,25,27,0.377189722125969,0,4,11,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T162",62,29,32,0.168836473476994,0,1,11,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T164",132,76,4,0.85319655536374,0,12,14,1,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"T166",33,21,9,0.150263935684929,0,6,5,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T168",185,115,25,0.566605882196417,1,9,27,1,37,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,1,2
"T169",40,19,5,0.102703754825601,0,2,4,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"T170",46,25,7,0.266319104063766,1,4,9,2,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"T171",70,36,17,0.136393420525949,0,4,11,0,15,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0
"T172",100,53,33,0.571847019338058,0,6,21,10,37,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"T174",35,25,6,0.0618640093754495,0,2,4,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"T175",78,41,12,0.215188208131839,0,4,9,0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T176",205,110,40,0.32542492228347,0,9,15,2,26,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"T178",35,23,32,0.138126248148073,0,5,6,2,13,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"T180",128,71,28,0.337990659345062,0,8,24,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
