"","STAT1.gsva","GGI.gsva","CytScore.log2","TIDE.Dysfunction","TIDE.Exclusion","TIDE.MDSC","TIDE.CAF","TIDE.TAM.M2","TIDE.IFNG","TIDE.CD274","TIDE.CD8","Danaher.B.cells","Danaher.CD45","Danaher.CD8.T.cells","Danaher.Cytotoxic.cells","Danaher.DC","Danaher.Exhausted.CD8","Danaher.Macrophages","Danaher.Mast.cells","Danaher.Neutrophils","Danaher.NK.CD56dim.cells","Danaher.NK.cells","Danaher.T.cells","Danaher.Th1.cells","Danaher.Treg","B2M","TAP1","TAP2","HLA.A","HLA.B","HLA.C","HLA.DPA1","HLA.DPB1","HLA.E","HLA.F","PD.1","CTLA.4","LAG3","TIGIT","TIM3","PD.L1","PD.L2","CD27","ICOS","IDO1","Act.CD4","Act.CD8","Tem.CD4","Tem.CD8","MDSC","Treg","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","NK.cells","B.lineage","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","ECM.associated_HM.et.a.gsva","Immune.response_HM.et.a.gsva","Proliferation_HM.et.a.gsva"
"T140",0.226999999999999,-0.546,4.151,-0.18,-0.85,-0.1,-0.02,0.01,-0.92,1.2,-0.7,0.486,4.732,2.724,2.73,2.411,1.499,2.522,4.675,0.024,-6.959,-0.16,2.373,0.694,2.318,4.94492,2.53462,1.27811,4.3105,4.86998,4.59043,3.20656,3.4059,3.89244,2.04671,-0.24524,-0.4628,-0.25978,-0.28993,-1.51658,-1.30198,-0.94247,1.44207,0.3931,-0.4497,1.08841,1.5154,1.0976,1.25613,-1.85688,-1.13883,1.330733,1.539,1.7878,-1.85175,1.206875,4.718286,1.141,1.6804,4.406424,8.45475,0.247225209516751,-0.0827030565179047,-0.505781331818113
"T141",0.542999999999999,-0.247,4.019,-1.05,-0.36,-0.13,0.1,0,0.4,-0.11,0.16,-0.5,5.853,3.689,2.941,2.529,1.718,3.942,5.878,-0.255,-2.654,0.733,3.277,0.876,2.298,5.50724,2.51292,1.30286,4.33785,4.96373,4.40756,3.95836,3.78513,4.05029,2.47198,-0.14037,-0.97631,-0.14907,-0.73947,-2.18437,-0.65248,-1.39698,1.56556,0.79794,-1.32751,1.23427,1.59478,1.21132,1.50642,-2.12389,-1.39243,1.84004,2.7127,2.3253,-1.014825,0.2232,5.729371,1.1159,1.518487,3.451136,9.095025,-0.0882214784245271,0.387492194978373,-0.119201947435527
"T142",0.750999999999999,0.371,6.007,-0.07,-2.27,-0.11,-0.18,-0.06,1.75,1.14,2.22,2.607,6.717,5.835,4.928,3.379,3.401,2.817,3.746,-0.698,0.851,3.897,5.058,2.688,3.636,5.86328,3.47071,1.84262,5.00441,5.42163,4.92083,4.07818,3.98263,4.39305,2.75822,-1.10249,-1.5379,-1.33937,-1.56296,-1.73142,-1.34106,-1.67125,2.537,1.74533,-2.09558,1.76933,2.22325,1.09334,1.71793,-2.29443,-1.18118,3.36982,4.9319,4.07718,1.1245,3.394588,5.220443,2.37004,1.209413,2.821794,7.5264,-0.444780850949052,0.754438597211728,0.404995264324794
"T143",0.795,0.515,7.686,-0.17,-2.2,-0.04,-0.19,-0.12,3.04,3.26,2.45,3.155,6.716,6.063,5.785,3.486,4.576,3.903,0.602,0.559,-4.224,3.444,5.224,4.075,4.759,5.46684,4.23262,2.4428,5.38434,5.4731,5.22297,3.89191,3.89289,4.47711,3.5989,-1.9307,-1.85015,-2.63906,-1.83766,-2.13851,-2.2488,-2.02829,2.52079,1.95772,-3.93634,1.89096,2.19111,1.12433,1.71762,-2.37939,-1.57072,3.712913,4.7732,4.49228,0.961325,3.493438,5.6009,1.28706,0.195887,2.917973,7.36775,-0.677717272674717,0.876798551888322,0.624026627110286
"T145",-0.463999999999999,-0.313,2.458,-1.1,-0.48,-0.05,-0.05,0.04,-2.12,-1.47,-1.98,-0.587,3.055,1.109,0.69,0.407,0.264,1.188,3.359,-2.851,-6.517,-1.776,0.938,-1.365,0.415,4.85831,2.10098,0.79604,3.77533,4.24968,4.17514,3.32263,3.39865,3.8447,1.60741,0.08868,-0.04652,0.10873,0.12389,-1.07114,-0.02378,-0.60789,0.76505,-0.12772,0.01992,0.90625,1.15989,1.02784,1.12483,-1.41244,-0.80269,-0.21068,0.3525,0.1318,-2.35065,1.347138,3.453329,-0.67936,0.911967,3.408627,7.249512,0.350257308210782,-0.332200733005712,-0.14985659556379
"T147",-0.333999999999999,0.637,1.483,-1.46,0.03,0.02,-0.02,0.02,-1.26,-0.76,-2.28,-1.635,4.484,0.585,0.749,1.914,1.062,2.741,4.311,0.753,-5.71,-1.733,0.921,-1.039,1.974,4.90382,2.31351,0.90487,4.20929,4.57027,4.36778,3.65189,3.58352,3.71779,2.09554,-0.00022,-0.27175,-1.34524,-0.16418,-1.73537,-0.35617,-1.0661,0.54169,0.24401,-0.21859,1.23364,1.09672,1.05735,1.18449,-2.10006,-1.21671,0.18234,-0.6039,0.27578,-3.350425,-0.449587,5.3047,1.49212,1.288553,2.377133,8.526,-0.206809453095079,-0.0737092886987911,0.557546206225761
"T148",0.442999999999999,0.258,3.603,-0.44,-0.23,-0.04,0.01,0.01,-0.1,-0.02,-0.5,0.771,4.815,2.957,2.41,2.287,2.051,2.564,2.342,-0.431,-3.173,0.052,2.485,0.975,2.752,5.14611,2.83031,1.35507,4.48232,4.99011,4.60843,3.64027,3.88033,4.07176,2.25982,-0.57371,-0.67032,-1.09168,-0.5565,-1.70863,-0.69273,-1.04263,1.64593,0.44832,-0.90312,1.09564,1.46315,1.02531,1.38544,-1.96174,-1.18646,1.321887,1.9151,1.87114,-1.75815,1.872562,4.918614,0.50924,0.97484,3.402461,8.504825,0.322336199493558,0.37720741619886,-0.0770040855485032
"T149",-0.439,0.099,3.677,-0.81,1.48,0.02,0.21,0.02,-1.56,-1.08,-0.49,-3.517,4.287,2.977,1.89,1.293,1.315,2.827,3.702,-1.479,-5.718,-0.614,1.632,-0.844,0.948,5.36185,2.15824,0.88675,4.16831,4.65146,4.19572,3.32839,3.46561,3.90738,1.7067,0.11358,-0.08509,-0.54638,0.02914,-1.76591,-0.25596,-1.31358,0.49783,0.06919,-0.28722,1.1255,1.3575,1.15315,1.29165,-1.85752,-1.28525,0.29372,2.1404,1.25866,-1.877325,-2.285325,4.316143,0.54906,0.52844,3.36467,10.019787,0.394599268391676,-0.00872660094762495,0.150215028120322
"T150",0.349,-0.565,5.199,-0.48,-0.73,-0.13,0.01,0.03,0.37,-0.07,0.73,2.21,6.209,4.298,3.52,2.899,2.688,2.497,3.159,-1.658,-1.217,2.18,4.092,2.455,2.854,5.28772,2.73585,1.36436,4.22541,4.65184,4.39156,3.74854,3.86156,4.24864,2.19936,-0.81079,-1.16857,-0.45301,-1.06749,-1.29608,-0.6913,-1.3187,2.10103,1.11387,-1.41875,1.24293,1.87068,1.16877,1.53888,-2.14366,-1.03257,2.696487,3.24802,3.065054,0.234995,3.475251,5.431649,2.433494,0.822471,4.118388,8.774575,0.00155669544672923,-0.111521110183317,-0.46211794658007
"T151",0.645,0.411,4.985,0.49,-0.77,-0.08,0,-0.02,0.45,0,0.73,1.62,5.561,4.298,3.709,2.709,2.998,3.065,3.571,-0.174,-1.132,2.006,3.968,2.64,3.628,5.39469,2.74114,1.50477,4.721,5.02807,4.75416,3.82902,3.91008,4.39738,2.45284,-0.76915,-1.45399,-1.04394,-1.16936,-1.80639,-0.77613,-1.59374,2.11764,1.29993,-1.52291,1.5368,1.85818,1.19991,1.59496,-2.13759,-1.26995,2.680773,3.4314,2.84636,0.154425,2.138463,5.175214,1.83372,0.95156,4.044209,9.030762,0.0682338407873833,0.654849629197733,0.294854521205464
